phi,psi
-121.612548828125,170.8032989501953
-150.8389892578125,170.95069885253906
-124.07561492919922,168.34930419921875
-155.91510009765625,145.42575073242188
-133.3896942138672,-177.6326446533203
-110.66841125488281,179.4734344482422
-136.16412353515625,152.31173706054688
-104.30963897705078,128.3580322265625
-123.33807373046875,161.37344360351562
-100.10722351074219,174.908203125
-110.11319732666016,-154.1358642578125
-131.32872009277344,176.91123962402344
-128.748779296875,129.61720275878906
-112.4608154296875,152.4730987548828
-143.9803924560547,155.88031005859375
-142.69483947753906,149.00125122070312
-112.89774322509766,160.46656799316406
-106.78070831298828,145.64578247070312
-95.80504608154297,159.25204467773438
-91.63307189941406,161.7913360595703
-108.1574935913086,149.55908203125
-139.46493530273438,164.50323486328125
-116.18167877197266,148.4783935546875
-107.99878692626953,158.95022583007812
-91.1700210571289,146.13473510742188
-122.6102523803711,158.2519989013672
-116.32075500488281,122.01189422607422
-110.95490264892578,162.94796752929688
-110.19691467285156,144.0651397705078
-81.04489135742188,163.08505249023438
-115.3884048461914,154.74969482421875
-89.72705078125,155.16114807128906
-138.31285095214844,163.4627227783203
-103.8058090209961,161.8101043701172
-113.24658203125,171.5272979736328
-105.97742462158203,147.39122009277344
-84.03633117675781,174.56114196777344
-116.18376159667969,150.64120483398438
-87.92340087890625,163.8527069091797
-92.95365905761719,-177.9095001220703
-101.53887939453125,-171.84605407714844
-98.98983764648438,165.73626708984375
-91.1480484008789,-179.64588928222656
-102.26492309570312,161.76034545898438
-72.41698455810547,-176.9857940673828
-85.54576110839844,166.75970458984375
-97.24241638183594,147.67184448242188
-74.32563018798828,159.79632568359375
-81.75704193115234,166.46359252929688
-69.83598327636719,125.65768432617188
-110.5462417602539,161.5333709716797
-80.83840942382812,167.4290313720703
-61.117862701416016,142.48379516601562
-86.82430267333984,147.0563507080078
-97.83637237548828,153.8958740234375
-74.31201171875,161.3640899658203
-76.97505950927734,141.0244598388672
-100.03258514404297,156.89881896972656
-95.60285186767578,144.9890899658203
-81.71868133544922,179.591064453125
-82.95932006835938,175.3567352294922
-91.3034896850586,145.10040283203125
-104.68243408203125,149.00106811523438
-90.18706512451172,153.11404418945312
-111.35167694091797,146.7874298095703
-74.16155242919922,162.7079315185547
-91.36251831054688,163.0998077392578
-88.22683715820312,172.268310546875
-56.88423538208008,132.49217224121094
-74.3712158203125,110.96306610107422
-88.20443725585938,114.5582046508789
-76.08554077148438,147.1868896484375
-64.3745346069336,154.58773803710938
-71.7645034790039,147.32481384277344
-93.6944808959961,140.7510528564453
-84.23210906982422,146.10679626464844
-65.04438781738281,125.12691497802734
-70.2015380859375,143.94610595703125
-65.43647003173828,158.7487335205078
-85.69625854492188,149.93243408203125
-69.75343322753906,133.7161102294922
-73.29818725585938,164.88497924804688
-91.37346649169922,147.47169494628906
-75.34222412109375,158.01361083984375
-69.72380065917969,146.49256896972656
-64.38872528076172,156.4810333251953
-90.6916275024414,-176.0259246826172
-99.48033142089844,164.7711944580078
-113.80663299560547,153.48843383789062
-91.33885955810547,164.80189514160156
-100.47856903076172,159.8902587890625
-94.01905822753906,151.13058471679688
-82.24445343017578,141.7788543701172
-97.46231079101562,150.32875061035156
-101.18171691894531,125.11112213134766
-134.5186004638672,135.44491577148438
-108.23368835449219,101.5429458618164
-113.79695129394531,130.30197143554688
-131.7247772216797,158.62579345703125
-145.60269165039062,149.27197265625
-116.54646301269531,159.26280212402344
-134.36961364746094,153.95892333984375
-128.43211364746094,156.47120666503906
-121.92683410644531,159.92459106445312
-105.32383728027344,162.51693725585938
-110.47596740722656,173.40431213378906
-124.97579193115234,172.63406372070312
-112.4433822631836,145.332763671875
-127.208740234375,142.00936889648438
-138.861572265625,153.30047607421875
-90.69252014160156,170.18093872070312
-104.60232543945312,165.7786102294922
-72.10975646972656,138.50543212890625
-85.5479736328125,-176.78550720214844
-97.79649353027344,159.77281188964844
-91.54518127441406,173.5406494140625
-90.82428741455078,169.3459930419922
-76.41167449951172,160.1147918701172
-76.02156829833984,170.61888122558594
-73.88740539550781,163.17718505859375
-64.30596923828125,143.92724609375
-75.58685302734375,143.36248779296875
-67.9216537475586,135.6391143798828
-68.17532348632812,163.11192321777344
-75.7541275024414,146.0817108154297
-107.14817810058594,163.1763458251953
-67.89756774902344,172.0459747314453
-77.1200942993164,177.87213134765625
-83.75836181640625,168.7996826171875
-72.06877899169922,163.2677459716797
-83.54651641845703,154.02357482910156
-68.09930419921875,160.3524627685547
-66.2445297241211,170.95230102539062
-74.9883041381836,150.2365264892578
-79.27354431152344,158.12803649902344
-92.30172729492188,166.2647247314453
-84.85990142822266,155.9071807861328
-75.31502532958984,159.88314819335938
-91.20272064208984,157.91622924804688
-81.6655044555664,164.24911499023438
-75.11121368408203,167.6571044921875
-92.42731475830078,164.0692901611328
-77.27404022216797,155.25160217285156
-67.04161071777344,146.16526794433594
-77.55770111083984,-177.09649658203125
-74.70455169677734,161.941650390625
-70.12932586669922,153.5714874267578
-79.22537231445312,153.83578491210938
-81.720947265625,149.43850708007812
-62.95369338989258,142.10752868652344
-85.0479507446289,127.5228500366211
-67.27828216552734,155.83285522460938
-90.20768737792969,149.94544982910156
-85.430419921875,153.81704711914062
-83.40711975097656,164.56370544433594
-62.32181167602539,148.7988739013672
-88.2112808227539,159.3948516845703
-64.74356842041016,134.83770751953125
-87.50296020507812,151.68896484375
-88.32591247558594,162.13247680664062
-85.66574096679688,157.91941833496094
-75.17852020263672,148.59237670898438
-85.92057800292969,156.0978240966797
-56.66828918457031,136.81785583496094
-104.96501922607422,148.73831176757812
-100.52133178710938,175.00546264648438
-69.66240692138672,146.48403930664062
-68.06336975097656,168.0517120361328
-98.51050567626953,143.1761016845703
-128.58424377441406,158.03805541992188
-95.5955810546875,-176.67214965820312
-124.91506958007812,153.74661254882812
-98.81356048583984,162.15145874023438
-65.82022094726562,153.2776336669922
-117.6956787109375,161.97561645507812
-84.80534362792969,160.2140350341797
-84.93110656738281,165.6710662841797
-95.30355834960938,160.26275634765625
-110.90885925292969,149.16831970214844
-67.33834838867188,161.44131469726562
-68.25843048095703,158.36749267578125
-80.0856704711914,152.70359802246094
-73.73863220214844,154.53738403320312
-82.6305923461914,151.43212890625
-90.32673645019531,153.78187561035156
-78.16315460205078,158.9661865234375
-90.80879974365234,157.2316131591797
-82.618408203125,133.59971618652344
-93.274169921875,130.2827606201172
-124.7548599243164,139.57708740234375
-91.32357025146484,148.92445373535156
-106.89085388183594,150.49110412597656
-79.3873291015625,145.13894653320312
-96.5110855102539,171.15713500976562
-79.90605926513672,162.2489013671875
-113.5149917602539,-178.43394470214844
-104.94403076171875,179.0808868408203
-80.62344360351562,169.9060821533203
-93.91473388671875,162.73399353027344
-98.40791320800781,-178.787353515625
-69.36622619628906,170.5406951904297
-79.68034362792969,168.00942993164062
-91.3725357055664,172.33407592773438
-83.38104248046875,155.4281768798828
-83.88107299804688,139.86148071289062
-82.09098052978516,162.05894470214844
-83.85721588134766,160.9584197998047
-79.3833999633789,139.11033630371094
-82.61312866210938,146.6082000732422
-54.49907684326172,128.46617126464844
-83.70506286621094,167.97756958007812
-60.97784423828125,129.5464630126953
-68.47562408447266,128.1121063232422
-47.053707122802734,149.80137634277344
-85.78486633300781,147.50155639648438
-82.32975769042969,151.03439331054688
-72.09264373779297,151.29978942871094
-65.30130767822266,138.8147735595703
-94.88465118408203,154.4722900390625
-81.09688568115234,143.68687438964844
-81.3394775390625,155.19784545898438
-70.83699798583984,157.87118530273438
-61.11406326293945,153.90916442871094
-65.82286834716797,147.06207275390625
-80.11116790771484,140.9352569580078
-59.140567779541016,129.49273681640625
-57.72713851928711,150.94174194335938
-63.06169128417969,140.00440979003906
-60.94357681274414,149.8166046142578
-74.20281219482422,148.2729949951172
-64.48841857910156,171.71734619140625
-70.90278625488281,164.01220703125
-70.62849426269531,152.2158203125
-82.38864135742188,153.18289184570312
-77.13778686523438,165.83303833007812
-76.39644622802734,160.86093139648438
-77.38343811035156,134.31283569335938
-85.30400848388672,161.28701782226562
-84.31050872802734,137.3196563720703
-96.96044158935547,158.8161163330078
-72.70765686035156,146.8073272705078
-71.88619232177734,152.44203186035156
-77.25801849365234,142.68162536621094
-80.47237396240234,156.63514709472656
-82.48088836669922,149.87307739257812
-71.65833282470703,139.5127410888672
-72.6090087890625,162.83128356933594
-67.1023178100586,161.86973571777344
-77.9281005859375,153.3701934814453
-69.22534942626953,149.86605834960938
-74.56600189208984,138.9043731689453
-52.56448745727539,158.64610290527344
-86.9609375,157.92291259765625
-85.88333129882812,163.70803833007812
-80.26402282714844,132.36068725585938
-64.71346282958984,130.90240478515625
-67.95484924316406,169.05226135253906
-88.06869506835938,149.13629150390625
-85.26774597167969,154.2061767578125
-64.05457305908203,149.8133087158203
-89.02017974853516,132.29800415039062
-77.75182342529297,156.3197479248047
-72.01095581054688,147.33360290527344
-70.64796447753906,143.6511993408203
-69.34229278564453,141.33737182617188
-76.93114471435547,136.88279724121094
-99.70420837402344,144.44302368164062
-70.80451202392578,159.83619689941406
-93.7808837890625,150.92361450195312
-76.11885833740234,155.20809936523438
-74.44300842285156,145.0353546142578
-99.9068832397461,161.44154357910156
-88.1325454711914,161.4525146484375
-68.60814666748047,157.90499877929688
-62.07001876831055,160.7570343017578
-82.0169448852539,147.31629943847656
-85.32971954345703,168.81581115722656
-79.7018814086914,149.989013671875
-82.2424087524414,167.1701202392578
-69.07537841796875,161.1501922607422
-74.83638000488281,149.95159912109375
-69.86605834960938,170.6279754638672
-77.6458740234375,161.07424926757812
-73.00931549072266,146.77392578125
-76.3687515258789,179.30099487304688
-87.09008026123047,-179.54405212402344
-98.70914459228516,-166.1099395751953
-90.451904296875,-178.45777893066406
-87.37671661376953,161.90805053710938
-79.22998046875,167.7074432373047
-69.7149658203125,151.0681610107422
-74.81025695800781,141.5790557861328
-70.99700164794922,152.25360107421875
-90.83235168457031,146.68667602539062
-76.90351104736328,161.66455078125
-74.65595245361328,156.31161499023438
-85.67576599121094,150.74818420410156
-80.20777130126953,168.08457946777344
-81.0753402709961,169.880859375
-61.48799514770508,155.54566955566406
-91.23120880126953,163.89617919921875
-97.38304901123047,172.5331573486328
-103.4703140258789,-172.3248291015625
-85.53366088867188,-179.10118103027344
-93.10779571533203,149.1968231201172
-104.1570816040039,158.3152313232422
-66.45468139648438,147.02406311035156
-146.056640625,157.10888671875
-100.68999481201172,160.54071044921875
-72.13335418701172,159.85104370117188
-90.45738220214844,160.46109008789062
-96.81208038330078,151.50473022460938
-94.60059356689453,163.33473205566406
-79.55524444580078,-177.29864501953125
-100.87609100341797,167.3195037841797
-99.36710357666016,167.39413452148438
-102.30868530273438,-170.73239135742188
-143.47146606445312,163.62240600585938
-104.96096801757812,155.72654724121094
-118.74131774902344,163.92466735839844
-102.69141387939453,162.7009735107422
-111.64625549316406,176.30543518066406
-136.35858154296875,168.43746948242188
-139.54954528808594,152.04556274414062
-144.01113891601562,160.9331817626953
-128.38241577148438,167.5923614501953
-118.09068298339844,151.74502563476562
-113.85697174072266,166.90966796875
-98.72620391845703,171.11248779296875
-126.3943099975586,178.06414794921875
-105.34752655029297,151.68626403808594
-110.55171203613281,178.52084350585938
-102.10963439941406,-175.65908813476562
-121.77970886230469,-173.04656982421875
-117.53014373779297,-176.28204345703125
-124.62031555175781,165.4434051513672
-106.63948822021484,-174.03863525390625
-95.26526641845703,167.8202667236328
-103.82350158691406,174.24285888671875
-123.33821105957031,174.3994903564453
-114.63164520263672,-166.17735290527344
-141.1071319580078,142.8874969482422
-108.76433563232422,141.25714111328125
-120.26398468017578,172.80348205566406
-111.81491088867188,158.1206512451172
-118.4857177734375,134.19161987304688
-125.84087371826172,146.3462677001953
-125.16258239746094,156.6996612548828
-147.70875549316406,155.00282287597656
-126.34622192382812,151.12232971191406
-100.59004211425781,171.0188751220703
-88.52120208740234,174.44906616210938
-121.02721405029297,152.2538299560547
-106.88798522949219,153.01210021972656
-121.24799346923828,177.7943572998047
-113.51019287109375,169.12940979003906
-141.13624572753906,157.78884887695312
-110.49543762207031,162.85244750976562
-117.37181091308594,145.038818359375
-118.6441879272461,173.22132873535156
-102.11875915527344,158.2692108154297
-113.62715148925781,-171.2564239501953
-127.46725463867188,160.7279510498047
-110.78201293945312,160.8863067626953
-111.18746185302734,173.3994598388672
-99.66222381591797,169.88845825195312
-87.5281753540039,143.58273315429688
-86.85160827636719,165.8839874267578
-76.35147857666016,173.5517120361328
-87.98413848876953,160.07981872558594
-122.07708740234375,159.97476196289062
-80.71598052978516,163.3445281982422
-101.09994506835938,159.2362518310547
-90.81053924560547,160.9516143798828
-107.89275360107422,143.504638671875
-111.72787475585938,134.44647216796875
-72.99742889404297,137.81671142578125
-87.65227508544922,126.20893859863281
-95.78361511230469,175.04209899902344
-71.70992279052734,147.26905822753906
-74.55641174316406,169.11346435546875
-72.67623138427734,151.93673706054688
-89.14910125732422,162.41665649414062
-134.63145446777344,161.89759826660156
-99.97396087646484,158.5321044921875
-105.77301788330078,161.86268615722656
-91.83600616455078,158.16416931152344
-100.19573211669922,167.54161071777344
-88.693115234375,145.22682189941406
-77.2891616821289,132.05043029785156
-80.2806625366211,155.2006378173828
-99.7689208984375,155.3744659423828
-95.19308471679688,-174.194091796875
-100.84880828857422,170.99073791503906
-84.59573364257812,173.12644958496094
-71.53751373291016,173.80807495117188
-77.91881561279297,174.06080627441406
-81.47466278076172,167.961181640625
-103.10334777832031,156.13388061523438
-82.16181182861328,116.84459686279297
-89.5177001953125,147.34739685058594
-71.55350494384766,133.13848876953125
-94.11256408691406,158.15771484375
-79.62760162353516,146.37643432617188
-74.05963134765625,157.40701293945312
-123.46533203125,152.91085815429688
-103.29698944091797,152.2295684814453
-110.64852142333984,156.40794372558594
-107.97991943359375,155.1688232421875
-112.0648422241211,155.00294494628906
-128.23695373535156,148.3382110595703
-128.98764038085938,171.7861785888672
-115.21968078613281,140.03848266601562
-140.0936279296875,161.47576904296875
-107.03009796142578,145.43585205078125
-112.28274536132812,164.93898010253906
-99.59263610839844,149.4952392578125
-102.01295471191406,179.9488525390625
-130.16673278808594,166.8885498046875
-117.26316833496094,149.3863525390625
-101.68028259277344,157.7438201904297
-111.23248291015625,152.5740966796875
-114.14373779296875,177.21975708007812
-107.82044219970703,160.01068115234375
-114.5309066772461,159.70480346679688
-94.24552917480469,164.24581909179688
-92.62162017822266,155.25962829589844
-112.8471908569336,149.4633026123047
-106.4897689819336,147.05075073242188
-123.71990966796875,133.30609130859375
-137.44166564941406,146.00289916992188
-134.78497314453125,149.0631866455078
-121.74778747558594,151.4564208984375
-124.63859558105469,149.4942169189453
-106.6982192993164,148.98587036132812
-117.977783203125,142.00938415527344
-127.10550689697266,163.52308654785156
-130.17762756347656,169.95616149902344
-98.30453491210938,-178.38595581054688
-84.12306213378906,165.4000701904297
-80.1107406616211,144.9907684326172
-91.49555206298828,136.5404510498047
-94.3990249633789,157.41595458984375
-79.00244140625,156.3001708984375
-90.62374114990234,168.98928833007812
-79.0652847290039,176.5876922607422
-70.99105834960938,121.6821517944336
-99.46754455566406,174.05613708496094
-121.47191619873047,138.5441436767578
-117.22911071777344,155.36453247070312
-115.89993286132812,141.7384490966797
-120.53486633300781,156.04931640625
-111.05474090576172,144.20217895507812
-84.30765533447266,151.1444549560547
-109.5001220703125,-175.74362182617188
-118.37545013427734,156.07843017578125
-100.13806915283203,155.60696411132812
-96.15684509277344,162.4756622314453
-108.74310302734375,141.75656127929688
-111.69477844238281,149.65745544433594
-120.22111511230469,160.5166778564453
-99.20093536376953,151.7941436767578
-99.32140350341797,149.4344482421875
-106.89444732666016,174.20005798339844
-74.40644836425781,161.53851318359375
-79.4867172241211,152.61900329589844
-93.89981842041016,165.77256774902344
-119.84909057617188,159.61181640625
-119.46613311767578,154.9583740234375
-64.33027648925781,157.38851928710938
-119.07051849365234,163.5313720703125
-97.9167709350586,167.70303344726562
-106.51918029785156,159.7412567138672
-89.98206329345703,158.6360321044922
-112.33143615722656,-175.94473266601562
-97.14253997802734,163.43417358398438
-83.86154174804688,165.02859497070312
-101.86727905273438,154.87765502929688
-86.62117767333984,131.62770080566406
-81.48098754882812,149.37579345703125
