phi,psi
65.49693298339844,-156.8764190673828
74.78816986083984,-155.685302734375
69.39217376708984,-156.98977661132812
85.17919158935547,-148.7866668701172
66.39189147949219,-117.90060424804688
52.39708709716797,-149.11354064941406
68.2708511352539,148.18312072753906
69.85413360595703,168.34617614746094
81.41277313232422,-174.78915405273438
67.56488800048828,165.44522094726562
72.93843078613281,-156.3057861328125
56.278865814208984,-153.1841278076172
75.11936950683594,-168.74786376953125
60.2365608215332,-153.39674377441406
54.11918640136719,-147.60614013671875
83.03585815429688,-179.01950073242188
60.98777389526367,-171.6007080078125
69.9588623046875,178.27703857421875
48.19707489013672,-178.69427490234375
55.299888610839844,-144.47471618652344
55.80643844604492,-174.19090270996094
59.77052307128906,-171.64756774902344
61.654537200927734,-145.22215270996094
42.87704849243164,-158.6104736328125
57.55448913574219,-123.18921661376953
40.24382019042969,-132.16641235351562
57.0110969543457,-153.26922607421875
54.478607177734375,-115.85381317138672
46.21208190917969,-150.71157836914062
53.13278579711914,-130.86907958984375
70.6219253540039,-137.4942169189453
53.82027816772461,-160.134521484375
54.848697662353516,-116.26983642578125
43.92700958251953,-113.0804443359375
41.81463623046875,-123.15367126464844
59.79509353637695,-131.15151977539062
74.30463409423828,-72.26134490966797
61.62485122680664,-51.86671447753906
57.0060920715332,-85.72923278808594
61.847557067871094,-79.54646301269531
70.38932037353516,-56.606170654296875
71.5246810913086,-44.71175003051758
60.373226165771484,-28.050508499145508
71.09186553955078,-44.36171340942383
78.493896484375,-26.060842514038086
70.09725952148438,-47.454463958740234
73.3244400024414,-45.80461502075195
60.94573974609375,-32.67790222167969
50.84718704223633,-47.96867752075195
69.56602478027344,-45.43193817138672
56.61723709106445,-49.315025329589844
58.208229064941406,-71.38422393798828
61.974361419677734,-29.50920295715332
53.646759033203125,7.6492156982421875
70.4399642944336,-28.158199310302734
53.2718505859375,-47.87092208862305
47.028865814208984,-55.97221374511719
63.72584533691406,-31.2741641998291
68.16561889648438,-16.84185218811035
37.319061279296875,-28.50782012939453
53.216068267822266,-43.35660934448242
60.19519805908203,-28.605709075927734
65.9971694946289,-65.89490509033203
57.367828369140625,-63.74005889892578
50.83575439453125,-61.32168960571289
49.734859466552734,-72.858642578125
68.25697326660156,-55.619964599609375
73.7308120727539,-43.65135955810547
63.64148712158203,-48.65682601928711
63.69803237915039,-37.0567512512207
