POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
8,-2145.4785,-18201.9005,0.0,2178.1708,-1271.4636,-20347.379,906.7071999999998,-19440.6718
9,-2096.9185,-18165.0814,0.0,2173.0017,-1281.0093,-20261.9999,891.9923999999999,-19370.0075
10,-2149.8848,-18325.1183,0.0,2164.1565,-1259.0677,-20475.003099999998,905.0888,-19569.914299999997
11,-2112.2436,-18396.8036,0.0,2168.6736,-1276.5499,-20509.0472,892.1237000000001,-19616.923499999997
12,-2115.335,-18199.031,0.0,2172.1039,-1272.3199,-20314.365999999998,899.7840000000001,-19414.582
13,-2103.3552,-18175.8923,0.0,2170.6723,-1266.2792,-20279.247499999998,904.3931000000002,-19374.8544
14,-2088.9997,-18277.509,0.0,2170.7006,-1282.0731,-20366.5087,888.6275,-19477.8812
15,-2081.9609,-18322.8629,0.0,2179.8435,-1288.426,-20404.8238,891.4175,-19513.4063
16,-2143.1338,-18240.3906,0.0,2164.3833,-1265.3067,-20383.5244,899.0765999999999,-19484.447799999998
17,-2072.316,-18224.0961,0.0,2174.8822,-1277.2786,-20296.412099999998,897.6035999999999,-19398.8085
18,-2096.5514,-18217.1584,0.0,2173.0773,-1277.8842,-20313.7098,895.1931,-19418.5167
19,-2078.4235,-18252.7239,0.0,2185.8537,-1284.6026,-20331.1474,901.2511000000002,-19429.8963
20,-2048.1633,-18279.9384,0.0,2195.6202,-1303.6016,-20328.1017,892.0185999999999,-19436.083099999996
21,-2090.2752,-18189.2612,0.0,2202.4999,-1303.1993,-20279.5364,899.3005999999998,-19380.235800000002
22,-2143.3494,-18213.2792,0.0,2176.2808,-1265.216,-20356.6286,911.0648000000001,-19445.5638
23,-2121.8658,-18327.6228,0.0,2179.8671,-1281.0225,-20449.4886,898.8445999999999,-19550.644
24,-2099.8047,-18288.8742,0.0,2182.2674,-1292.036,-20388.6789,890.2314000000001,-19498.4475
25,-2083.411,-18341.6419,0.0,2190.6165,-1291.4262,-20425.0529,899.1903,-19525.8626
26,-2076.5506,-18273.4771,0.0,2209.3228,-1315.7485,-20350.0277,893.5743,-19456.4534
27,-2079.1455,-18313.0701,0.0,2177.3109,-1291.3621,-20392.2156,885.9487999999999,-19506.266799999998
28,-2106.321,-18325.4374,0.0,2186.7987,-1300.1343,-20431.7584,886.6643999999999,-19545.094
29,-2119.5471,-18470.4734,0.0,2182.3477,-1296.6108,-20590.0205,885.7368999999999,-19704.2836
30,-2106.5353,-18446.1791,0.0,2177.0321,-1287.2238,-20552.7144,889.8082999999999,-19662.9061
31,-2112.357,-18299.7037,0.0,2179.697,-1282.4433,-20412.060699999998,897.2537000000002,-19514.806999999997
32,-2125.5513,-18447.2987,0.0,2164.2226,-1278.4499,-20572.85,885.7727,-19687.077299999997
33,-2126.8786,-18256.9382,0.0,2152.8495,-1262.1954,-20383.8168,890.6540999999997,-19493.1627
34,-2128.4586,-18372.8523,0.0,2165.3519,-1267.0187,-20501.310899999997,898.3332,-19602.977699999996
35,-2110.0858,-18454.5082,0.0,2175.5626,-1280.7123,-20564.594,894.8503000000003,-19669.7437
36,-2119.6903,-18307.2495,0.0,2173.7341,-1280.3233,-20426.9398,893.4108000000001,-19533.529
37,-2115.9208,-18090.0008,0.0,2185.0835,-1282.3311,-20205.9216,902.7524000000001,-19303.1692
38,-2123.8459,-18239.5436,0.0,2170.3462,-1266.8167,-20363.3895,903.5294999999999,-19459.86
39,-2122.0019,-18382.1369,0.0,2165.8291,-1273.4561,-20504.1388,892.3729999999998,-19611.7658

Ligand Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-8.8037,959.9702,0.0,40.3871,-48.0915,951.1664999999999,-7.704400000000007,943.4621
