phi,psi
-59.2657470703125,144.64376831054688
-52.02485275268555,139.569091796875
-109.30445861816406,176.77374267578125
-145.27760314941406,144.73666381835938
-95.09879302978516,167.043701171875
-133.6476593017578,148.08218383789062
-67.16232299804688,141.4713134765625
-112.98804473876953,151.7583465576172
-112.60785675048828,161.95008850097656
-122.83720397949219,155.23211669921875
-120.05288696289062,163.26409912109375
-85.99934387207031,144.35337829589844
-80.99137878417969,133.04393005371094
-78.10913848876953,169.17767333984375
-114.11378479003906,152.2865753173828
-66.06636810302734,154.6493682861328
-129.43878173828125,162.971923828125
-83.5140151977539,178.82180786132812
-66.49700927734375,155.23028564453125
-96.43897247314453,158.948486328125
-82.14176940917969,130.14739990234375
-79.77335357666016,151.95799255371094
-114.61512756347656,134.304931640625
-87.89013671875,173.600830078125
-80.86197662353516,148.3379669189453
-83.82344055175781,55.61138153076172
-120.5262222290039,160.00283813476562
-87.28374481201172,175.2939910888672
-66.6666030883789,145.2129364013672
-82.69818878173828,154.62261962890625
-100.47118377685547,161.89892578125
-92.84741973876953,74.75762939453125
-95.04315185546875,171.2578582763672
-99.0183334350586,167.43569946289062
-94.63325500488281,-162.9492645263672
-68.78213500976562,136.3809356689453
-108.7776107788086,177.67893981933594
-96.9628677368164,155.6349334716797
-122.72364044189453,130.26226806640625
-92.12486267089844,144.3010711669922
-99.10298156738281,172.4298095703125
-91.12541961669922,162.47348022460938
-97.71552276611328,-166.18768310546875
-135.27967834472656,156.42930603027344
-106.14655303955078,-173.42919921875
-76.25875091552734,178.45947265625
-70.26669311523438,69.08229064941406
-76.80144500732422,140.83653259277344
-106.40364837646484,153.12989807128906
-85.007080078125,154.20265197753906
-82.08287811279297,156.65896606445312
-56.971412658691406,136.62315368652344
-73.09403228759766,168.53245544433594
-80.35696411132812,161.9230194091797
-96.22261810302734,152.36590576171875
-99.93004608154297,149.29815673828125
-67.50672912597656,151.8633575439453
-114.17976379394531,149.18487548828125
-51.01887893676758,148.8185272216797
-111.31100463867188,153.44509887695312
-65.84107971191406,177.2259979248047
-99.20746612548828,164.15145874023438
